Grape Varietal,Winkler Degree Required
Riesling,1400
Chambourcin,1350
Gamay,1325
Traminette,1300
Vidal,1300
Chardonnay,1275
Hibernal,1250
Cayuga White,1250
S.V. 18-307,1250
Frontenac,1250
Chancellor,1250
Swenson White,1200
Geisenheim,1200
De Chaunac,1200
Baco Noir,1200
Seyval,1150
La Crescent,1150
Frontenac Gris,1150
Frontenac Blanc,1150
TP 1-1-12,1150
Petite Perle,1150
Seyval Noir,1150
New York Muscat,1150
St. Pepin,1100
Kay Gray,1100
St. Croix,1100
Marquette,1100
Vandal-Cliché,1050
Saint-Cliché,1050
Louise Swenson,1050
Sabrevois,1050
Radisson,1050
Pionnier,1050
Marechal Foch,1050
Lucy Kuhlman,1050
Beta,1050
E.S. 10-18-14,1000
Prairie Star,1000
Osceola Muscat,1000
Eona,1000
Leon Millot,1000
E.S. 10-18-30,950
E.S. 4-23-60,950
Adalmiina,950
D.M. 8521-1,950
Delisle,900
Skandia,900
Baltica,850
